gauge_id,hypoxia_frequency,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,hdi_ix_cav,DO_P25,WT_p75,Q_p25,daylength_median,daylength_p75,solar_p75
14202650,16.7562724,187.6,3,73,91,96,1772,0,67,15,0,18.116,928,5.1,17.38125,0.392317355,11.91305556,14.54972222,17.39
14206950,0.566371681,139.7,3,53,34,111,1090,0,23,3,100,1647.002,928,7.4,18.35,0.159717217,12.13694444,14.47777778,19.66
1475548,1.343921808,57.9,2,28,15,121,1125,0,0,0,100,4041.175,943,7.1,22.15416667,0.055953983,12.44638889,14.20333333,21.7
1477050,0.07043907,26711.1,6,6,47,90,1150,19,81,13,17,264.137,950,6.05,24.925,0.263368078,13.24527778,14.45180556,22.7675
1484272,11.23474515,129.9,2,6,6,128,1098,38,62,54,0,52.343,946,5.175,24.325,0.337308966,12.21986111,14.00256944,21.5925
1484525,0.97530608,156.4,3,10,6,129,1103,38,59,35,5,123.075,946,9.05,23.725,0.564561903,11.91138889,13.88388889,21.25
1552046,9.278350515,812,4,47,42,87,1013,0,0,18,44,1194.798,890,8.166947074,15.45,4.344344616,11.06833333,15.83652778,14.635
1552048,47.31543624,881.7,4,33,41,87,988,0,0,18,47,1231.753,890,1.622907794,15.9,5.072615862,10.38319444,15.86388889,14.51
1574000,0.173611111,1331.8,4,117,28,110,1033,0,44,44,7,117.654,943,8.225,23.525,11.03136587,9.363472222,9.490625,8.1125
1584376,12.98299845,3265,5,16,34,83,844,0,0,40,4,91.311,929,9.153830531,13,15.922616,10.42194444,13.55375,10.74
1611500,0.024721879,1740.1,4,302,88,101,957,0,99,10,0,10.058,838,8.2,23.4,4.35299921,12.20861111,14.08208333,19.885
1646000,0.048088483,144.9,2,91,18,125,1020,0,66,1,81,842.327,950,8.35,21.075,0.206472419,12.12944444,13.97402778,21.045
1649500,0.390625,198.3,3,31,18,127,1074,38,24,4,76,1183.483,953,8.25,22.61666667,0.319142722,12.20805556,14.02152778,22.01
1654500,0.08073197,11.5,1,108,18,126,1022,0,65,1,100,1393.749,950,7.75,21.15,0.164759517,12.31638889,14.06916667,21.32
1656903,0.481983016,22.1,1,104,11,126,1008,0,53,2,99,1378,950,7.4,21.85,0.018322747,12.30305556,14.04805556,21.31
204025,15.71428571,130.7,3,173,123,172,1991,0,100,0,0,5.828,954,3.53,21.07525,1.234688669,11.80722222,13.59451389,20.585
2079500,20.57838124,20446.2,6,89,35,134,1113,0,73,16,2,43.375,946,5.05,20.575,118.869545,11.99722222,13.80444444,21.96
2081094,0.91383812,39.7,2,15,6,158,1261,72,85,13,0,25.982,918,6.125,25.75,153.6303253,12.12194444,13.75583333,21.77
2101726,10.83734717,170.4,2,181,14,146,1168,0,74,15,1,38.113,918,4.975,23.825,0.679918051,12.17680556,13.760625,22.0825
2110400,9.870086047,115.7,2,4,2,169,1278,49,64,9,0,26.441,866,5.9,25.575,0.175917946,12.16,13.66361111,22.95
2110500,4.128749579,2946.1,4,-1,3,167,1280,39,62,15,0,24.281,865,4.45,25.6,14.04210615,12.16,13.68361111,23.01
2110701,35.76122673,98,2,0,1,172,1273,38,23,19,2,73.26,865,3.45,25.3,0.041415825,12.25,13.76041667,22.67
2110704,7.903253279,150.4,2,2,1,173,1276,39,28,18,6,108.537,865,4,26.2,18.4125061,12.20611111,13.69180556,22.665
212011,6.25,411.5,3,860,72,118,922,0,82,13,4,36.383,954,10.528,13.767,1.422888637,12.04472222,14.29555556,20.14
212054,3.765690377,203.6,3,945,57,118,888,0,72,7,0,12.423,954,10.4425,8.31025,0.547364324,10.41361111,10.88701389,15.815
212244,49.7382199,59.4,2,297,42,150,1042,0,99,6,0,29.034,954,2.73575,22.238,0.07566868,13.8225,14.31138889,27.9375
212250,0.798934754,1455.3,3,529,118,122,993,0,88,8,1,13.919,954,10.456,12.8,1.703964561,10.40361111,11.18666667,13.9375
2122518,100,734.8,4,660,34,121,774,0,5,6,1,14.358,954,0.73675,21.806,0.026492262,12.89708333,13.80173611,25.1925
2122520,81.25,13.1,1,681,26,130,1030,0,24,2,38,307.58,954,1.69575,21.49375,0.088520423,13.78166667,14.26527778,26.95
212270,0.483091787,4603.8,4,422,61,126,831,0,44,3,1,11.529,954,10.746,11.975,4.305619001,10.23638889,10.76263889,13.275
2122711,37.21864952,1359.4,4,681,33,123,751,0,9,5,2,17.88,954,2.832,20.124,0.152419701,10.85527778,12.95888889,18.9
2122713,94.92900609,349.8,3,728,51,120,801,0,30,2,0,1.353,954,0.56,19.525,0.041225922,13.05333333,14.33847222,27.495
212274,2.127659574,38.4,1,682,46,131,1583,0,67,0,0,6.424,954,10.23475,11.7,1.00398165,10.14361111,11.24395833,11.9775
212378405,2.389894162,12200.6,5,95,37,140,1185,0,50,18,6,85.007,918,5.875,27.15,74.8321228,13.43777778,14.255,23.92
212880025,1.005199307,17767.4,5,76,31,145,1180,0,56,19,7,92.99,918,6.416666667,28.15,95.55935287,13.34,14.18694444,23.92
2129375,0.256574727,18362.5,5,61,30,145,1180,0,57,18,7,91.888,918,6.25,28.65,99.34850883,13.54319444,14.29284722,23.8825
213211,30.28169014,167.2,2,115,65,163,1347,0,94,0,24,374.827,954,3.01025,20.622,0.109602287,11.15972222,13.51131944,18.025
2135000,0.025380711,7114.8,5,7,4,163,1204,43,21,30,1,42.177,865,5.7,25.975,32.90733242,12.17222222,13.66506944,22.24
2138520,0.139082058,1024.8,4,359,106,122,1357,0,97,3,1,29.659,918,6.8,18.6,1.909547776,13.14861111,14.15597222,23.9775
214244102,0.046750818,3819.5,5,278,72,132,1301,0,82,7,4,73.348,918,6.325,25.8,32.83502197,13.31361111,14.21888889,24.32
2145910,2.155172414,7847.2,5,189,47,141,1250,0,62,10,10,128.214,865,6.9,27.8,84.60828972,13.28111111,14.17027778,24.4425
2147310,1.358950328,9880.4,5,141,40,144,1234,0,61,10,17,185.44,865,6.35,28.25,72.47640228,12.86583333,13.96083333,23.58
21474095,0.358262427,518,3,128,18,159,1193,0,96,7,1,22.955,865,6.65,28.4,0.83267352,13.02555556,14.02680556,23.935
2147505,0.788565796,86.4,3,110,30,159,1169,0,98,4,0,4.653,865,6.875,28.2,73.09961319,12.60388889,13.77402778,22.99
215207,6.83202785,4641,4,479,54,123,864,0,66,1,0,1.148,954,10.64,11.9,3.565139353,10.27013889,10.92055556,13.885
2152131,2.473498233,295.3,2,326,84,134,1054,0,92,0,0,7.845,954,10.598,14.90225,0.20355849,11.28277778,12.21861111,18.78
215216,0.068965517,6454.9,4,114,67,129,969,0,75,0,0,1.75,954,10.555,13.175,9.134971619,10.25777778,11.01166667,14.03
215220,0.3125,447.6,3,230,94,145,1594,0,96,0,0,7.228,954,10.624,12.286,0.903979957,10.21222222,10.76902778,13.365
2152201,0.505050505,124.7,2,286,90,142,1744,0,100,0,0,5.05,954,10.473,12.58325,0.785433948,10.88555556,11.61777778,15.81
215233,93.18181818,60.9,1,596,67,135,1545,0,91,1,0,7.021,954,1.9705,20.863,0.019717197,13.56097222,14.12125,25.3975
2168504,1.82088443,6288.4,5,112,23,159,1267,0,70,13,6,83.499,865,6.475,16.6,44.14271164,12.37666667,13.82402778,22.635
2169000,0.036832413,6533.8,5,83,23,159,1264,0,68,12,8,97.098,865,8.3625,17.9,42.6336441,12.18944444,13.68083333,22.25
2171645,0.337502482,36,1,22,6,175,1254,45,47,9,0,61.969,865,7.15,28.25,0.007384623,12.22194444,13.65791667,22.635
2172002,2.472232175,420.2,3,13,3,177,1255,16,32,5,2,36.092,865,6.35,27.1,2.057748616,12.20402778,13.75361111,23.1425
2203603,0.249465431,15.4,1,299,18,160,1285,0,15,0,100,984.228,921,7.75,22.325,0.112430479,12.16277778,13.68319444,22.2
2203655,0.105355575,76.6,2,272,20,160,1283,0,14,0,97,848.853,921,6.725,22.825,0.123222094,12.05958333,13.62020833,21.97
2203873,0.104794341,23.7,1,287,20,158,1299,0,18,0,100,1134.482,921,7.6,21.925,0.02977881,12.15083333,13.69194444,22.21
2203900,0.04587156,266.1,3,257,21,160,1288,0,16,0,94,974.379,921,6.975,23.475,0.707054973,12.31111111,13.75777778,22.24
2203950,0.250626566,43.9,2,286,19,157,1316,0,24,0,100,1447.215,921,7.475,22.45,0.332693532,12.3275,13.73555556,22.27
2207160,0.031094527,77.8,2,255,29,157,1317,0,41,0,72,628.486,921,6.5,26.275,0.057871971,12.05444444,13.64555556,22.16
223209,0.7023705,2813.7,4,54,117,114,876,0,85,0,0,0.793,952,7.873,21.7,1.057388455,13.69416667,14.55715278,27.285
223210,43,499.6,2,102,125,122,845,0,100,0,0,0.576,952,2.0805,15,0.036914233,11.67916667,12.0975,17.835
224203,2.083333333,3902,5,80,168,102,1122,0,99,0,0,0.144,952,10.73375,13.5,9.564359188,11.57472222,12.009375,18.345
225212,0.641025641,1365.6,4,34,129,107,1402,0,87,0,0,2.188,952,10.257,9.9,5.099052668,9.918888889,10.76534722,10.8375
225236,100,1146.4,4,198,146,102,1503,0,96,0,0,0.578,952,1.993,20.3,6.276263237,14.22138889,14.28055556,30.5
225256,8.125,17.3,1,28,4,138,633,0,8,2,0,29.556,952,10.26875,13.5,7.14524579,10.94347222,12.10847222,14.8275
2264000,56.78698526,48,1,32,6,222,1217,38,60,3,38,168.82,892,2.3,25.475,0.113581667,11.91277778,13.225625,21.315
2264051,5.863192182,48,1,32,6,222,1217,38,60,3,38,168.82,892,5.925,29.3,0.067357339,10.88027778,11.55361111,16.805
2264100,19.73504773,48,1,32,6,222,1217,38,60,3,38,168.82,892,4.3,28.275,0.08390332,12.13888889,13.33555556,21.87
226415,34.7826087,153.9,2,131,106,119,1048,0,92,0,0,7.255,952,3.12,21.125,0.6297566,12.30486111,14.10666667,21.4725
2266200,94.26152399,156.9,2,36,7,220,1251,37,4,13,14,133.954,892,1.1,26.4,0.052717731,12.05305556,13.30625,21.5725
2266291,57.96387521,35.7,1,36,6,220,1246,37,0,14,23,249.013,892,1.275,27.775,0.101117993,10.88888889,11.57298611,16.7775
2266300,2.791262136,321.5,3,34,7,220,1243,35,18,9,27,239.496,892,4.675,26.5,0.304356389,12.11069444,13.28541667,21.7075
2266495,75.25492862,470.6,3,30,7,221,1238,36,24,8,27,222.516,892,1.25,26.4,0.038988907,11.9275,13.32888889,21.05
227264,89.88764045,90.8,2,86,53,131,1070,0,8,0,0,46.659,952,1.428,18.2,0.004022485,13.31083333,14.58875,25.06
227270,92.91044776,16.3,1,195,51,129,1129,0,10,2,0,113.034,952,1.102,17.6,0.003161816,13.51694444,14.465625,26.64
227273,89.68253968,503.6,3,5,34,136,1020,0,5,1,2,24.482,952,0.393,23.6,0.024634665,14.00291667,14.63326389,27.1875
229143,3.485254692,3330.1,4,45,80,128,1167,0,78,2,14,233.665,952,10.485,19.4,6.203516483,12.41861111,13.885,23.06
229147,25,2159.1,4,130,100,122,1346,0,96,2,3,42.286,952,3.37775,17.9,3.134061992,11.95833333,12.76125,18.8575
230220,50.27932961,324.9,2,294,40,123,857,0,61,5,4,60.411,952,2.57675,19.2,0.011423528,12.21277778,13.91069444,23.07
230240,76.15803815,16.8,1,297,36,133,681,0,3,3,56,880.957,952,1.813,19.2,0.036098191,12.67875,14.19048611,24.2925
2304000,43.41337907,1702.2,4,21,7,221,1332,37,20,15,25,268.371,892,2.225,26.8,4.322687149,12.21194444,13.38111111,22.755
2313700,2.180094787,1198.3,4,8,1,205,1316,31,61,11,0,12.856,892,4.7,26.3,8.083804131,11.75402778,13.11319444,21.25
232242,3.314917127,736.7,3,311,25,119,831,0,39,5,0,6.732,952,10.40475,12.7,0.302439012,11.73444444,12.23048611,16.7375
2326526,2.025658339,92.3,2,22,11,195,1461,70,100,6,0,10.838,892,5.325,23,0.168527991,12.27777778,13.46972222,22.665
233217,4.564315353,8556.6,5,50,17,131,709,0,15,9,1,20.291,952,10.433,13,8.048003674,10.88416667,11.91652778,14.755
2336120,0.100351229,103.4,2,286,20,155,1335,0,14,0,100,1492.534,921,7.15,23.425,0.436128438,12.16305556,13.68305556,22.1
2336152,1.005025126,28.9,1,314,15,155,1329,0,9,0,100,1285.02,921,6.875,22.55,0.134713899,12.29833333,13.70201389,22.2075
2336300,0.056721497,232.3,3,276,20,156,1325,0,8,0,100,1617.395,921,7.175,23.925,0.891342103,12.09472222,13.63472222,22.17
2336313,1.348747592,7.7,1,275,22,159,1313,0,0,0,100,551.344,921,6.75,23.25,1.223575771,12.21416667,13.70847222,22.19
2336360,0.068965517,95.3,2,282,23,155,1338,0,2,0,93,1065.111,921,7.225,23.4,0.467338309,12.16611111,13.69736111,22.13
2336526,0.32105441,40.7,2,264,22,159,1311,0,0,0,98,1217.095,921,7.4,23.275,0.065191695,12.18041667,13.69111111,22.2325
2336728,0.017343045,88,2,254,22,159,1302,0,13,0,94,835.134,921,7.625,23.4,0.111866713,12.19666667,13.71069444,22.25
2337170,0.035167927,8.9,1,268,24,159,1311,0,100,3,0,41.188,921,7.6,22,78.98099899,12.20583333,13.701875,22.2375
23432415,17.13129496,19407.3,5,68,25,166,1354,0,79,7,14,148.441,921,5.25,27.06666667,145.559227,12.03472222,13.48819444,22.58
2344630,0.991024682,185,3,254,17,161,1310,0,57,12,26,196.723,921,6.725,25.5,0.880505055,12.13416667,13.60729167,22.045
2344673,1.044992743,62.9,1,274,16,162,1301,0,89,16,65,495.693,921,6.45,27.425,0.183165222,12.06194444,13.60166667,22.03
2357150,0.598578376,1527.8,4,39,6,192,1350,7,11,59,0,10.232,921,6.5,23.95,4.474381924,12.27916667,13.65027778,21.96
2358000,0.042517007,44606.1,6,35,18,175,1314,2,59,22,8,85.336,892,7.025,27.975,317.110466,12.20916667,13.64458333,21.9675
2359170,0.911161731,49882.4,6,12,17,177,1331,5,59,21,7,78.376,892,5.4,28,351.6599274,12.2675,13.59930556,23.09
2394682,0.10295127,19,1,264,24,154,1337,0,71,31,0,59.504,921,7.9,21.775,0.231960721,12.38402778,13.87395833,22.5925
2423571,2.620087336,130,1,236,42,163,1438,0,34,2,58,548.508,803,7.45,23.55,0.659814715,12.43888889,13.78638889,22.84
29033,3.366336634,494.8,3,76,58,73,1036,0,0,17,4,54.295,929,9.446844802,14.85,2.70443368,12.49361111,15.4825,15.08
29040,8.9958159,1939.2,4,7,32,89,732,0,2,53,2,51.148,918,9.219014904,14.15,7.02941072,11.23416667,14.52451389,12.9925
29041,11.0974106,1974.1,5,9,43,88,959,0,0,22,48,1041.222,929,5.864488766,15.25,12.98152113,10.96333333,14.535833330000001,12.97
29043,7.469879518,8114.4,5,12,24,92,749,0,1,39,27,691.911,895,7.627703233,15.85,33.0585146,11.21472222,14.87166667,13.48
29044,10.50632911,959.1,4,23,50,89,977,0,0,23,50,905.212,890,5.189481114,15.55,6.654341936,11.63222222,15.19083333,14.135
3099500,0.106723586,2731.3,4,327,13,94,959,0,52,23,15,176.122,925,7.05,21.525,9.969177723,12.75083333,14.75361111,20.775
3123499,2.469135802,20.7,1,149,8,131,1132,0,10,2,100,1899.968,826,6.1,29.22708333,3.5e-10,12.74694444,13.5225,21.79
3219500,1.282051282,1662,3,278,4,98,922,0,1,76,2,44.359,925,6,22.7,2.152095199,13.39458333,14.57,22.66
3254520,1.472556894,9293.7,5,204,45,120,1149,0,61,39,1,23.726,814,7.4,23.45,26.36360693,12.10930556,13.98354167,20.85
3284533,15.18987342,52.1,2,296,13,126,1172,0,6,32,49,619.71,814,5.6,22.675,7.36e-4,11.895,13.65222222,22.08
3287590,20.44989775,12.7,1,304,12,125,1164,0,0,37,52,475.305,814,4.7,22,4.32e-7,12.10444444,13.735,21.82
3289193,0.530785563,27.2,2,281,12,126,1159,0,0,2,91,1471.101,814,7.4,19.25,0.391319692,12.2475,13.99,20.97
3289200,1.319261214,96.2,2,273,13,126,1152,0,5,26,65,934.619,814,6.725,22.275,0.157233894,12.33972222,13.93555556,21.14
3290500,0.196947317,211.6,2,220,31,123,1158,0,75,28,0,11.463,814,7.6,24.2,69.37585068,11.36583333,13.59958333,19.2275
3292470,0.078595756,177.3,2,210,22,124,1160,0,17,33,4,85.347,820,7.625,22.4,0.196776036,11.83388889,13.72895833,20.095
3292474,1.81547619,18.2,1,206,10,127,1160,0,8,4,95,774.934,814,7.4,20.275,0.060387151,12.05152778,13.85430556,20.6075
3292475,0.2596054,29.3,1,188,15,128,1152,0,20,3,75,729.251,814,7.75,20.55,0.010850418,12.20597222,13.98333333,20.86
3292480,0.117647059,29.3,1,188,15,128,1152,0,20,3,75,729.251,814,7.95,20.5,0.018519353,12.05611111,13.99972222,20.91
3292500,6.834975369,33.4,1,168,8,130,1147,0,8,2,100,1634.753,814,6.2,22.725,0.230871432,12.00861111,13.83333333,20.165
3293000,0.690131125,88.8,2,161,9,129,1152,0,8,4,99,1091.036,834,7.3,21.9,0.110114872,12.12583333,13.86861111,20.83
3293500,16.29245826,88.8,2,161,9,129,1152,0,8,4,99,1091.036,834,5.65,22.175,0.148339868,12.12055556,13.94763889,20.865
3293510,20.40893601,88.8,2,161,9,129,1152,0,8,4,99,1091.036,834,4.375,21.2,0.574727923,11.41305556,13.29902778,19.075
3293530,0.589812332,235021.7,7,145,61,104,1093,1,74,23,4,64.961,921,6.4,20.875,1491.263763,12.20125,13.96416667,21.12
3294570,3.495311168,275.5,3,137,18,132,1149,0,23,7,75,841.579,814,6.3,21.3,0.014661716,12.0625,13.895,20.84
3297800,1.034208433,31.6,2,163,28,132,1198,0,13,19,0,51.434,814,7.85,20.75,0.188122496,12.09069444,13.95729167,21.25
3297900,2.429296592,247.8,3,217,17,124,1167,0,4,39,16,156.417,814,6.35,21.4,0.924493954,12.12944444,13.84909722,20.38
3298000,0.026226069,13.7,1,219,20,126,1176,0,21,35,0,41.978,814,7.525,23.3,0.961695552,12.12722222,13.93486111,20.74
3298135,1.453143535,43.4,1,208,18,128,1169,0,26,10,73,582.853,814,7.725,21.175,0.059122422,12.0675,13.84909722,20.24
3298150,0.155925156,43.4,1,208,18,128,1169,0,26,10,73,582.853,814,7.75,22.35,0.071723819,12.08972222,13.9225,20.75
3298200,0.587467363,587.7,3,190,20,126,1171,0,21,31,19,173.706,814,7.533333333,22.65,2.309108138,11.54694444,13.30819444,19.275
3298250,1.021856372,33.9,1,203,14,130,1173,0,14,17,61,629.643,814,7.55,21,0.378774822,12.1525,13.90055556,21.16
3298300,7.939914163,19.9,1,193,11,130,1170,0,2,15,59,658.846,814,6.25,21.6,0.384382419,12.0775,13.96680556,20.7175
3301940,7.17990718,44.6,1,179,10,131,1157,0,0,8,95,1096.247,814,7.275,22.725,0.234744556,11.89666667,13.96958333,20.295
3302000,1.886156955,256.4,3,166,16,132,1149,0,18,6,78,874.587,814,6.525,24.625,0.770906091,11.80222222,13.87,20.38
3302030,2.124226943,26,1,176,46,132,1155,0,82,16,13,119.234,814,6.525,23.025,0.983211845,11.73888889,13.67611111,19.8225
3302050,7.530364372,26,1,176,46,132,1155,0,82,16,13,119.234,814,5.75,20.725,1.060578912,12.08263889,13.89048611,20.665
3321500,0.866141732,23713,6,116,26,135,1277,5,36,43,1,27.545,821,6.625,25.2,105.2861595,12.13652778,13.85368056,21.3075
3353415,6.824146982,28.2,1,271,2,107,1028,0,47,39,30,318.653,921,6.05,19.775,0.204453163,12.56166667,14.22388889,21.25
3353420,10.11089367,28.2,1,271,2,107,1028,0,47,39,30,318.653,921,6.525,19.725,0.274703756,12.31444444,14.12916667,20.875
3378500,0.102669405,75663.6,7,122,9,110,1029,2,20,64,4,56.592,921,8.35,24.675,228.031662,11.965,13.77298611,19.8475
3400800,0.696202532,153.1,2,478,141,117,1299,0,100,2,0,7.793,841,7.4,22.6,0.092093576,13.58444444,14.37208333,23.565
3414000,0.893655049,14915.4,6,218,84,125,1314,0,79,15,1,25.36,814,6.2,14.1,85.80792618,11.97972222,13.60736111,21.705
3417500,0.036101083,18810.9,6,186,79,127,1324,0,79,15,0,22.495,810,8.4,16.4,101.7047482,13.33458333,14.24777778,23.51
3418420,0.564174894,20908,6,192,78,128,1330,0,78,17,0,23,810,7.8,20.5,110.0528336,13.4775,14.30354167,24.15
3430200,1.964254114,72.8,2,143,22,144,1231,0,22,15,72,626.278,810,6.5,23,11.54203367,12.20055556,13.83361111,21.695
3431083,0.168123739,284.3,3,144,29,144,1238,0,40,10,63,660.826,810,7.275,23.8,0.23560138,12.16055556,13.82333333,21.6275
3431514,0.142959257,33339.1,6,143,64,132,1351,0,67,21,3,51.204,810,7.5,24,219.5274582,12.23125,13.86902778,21.75
343233905,0.030721966,465.1,3,204,31,142,1317,0,26,39,4,52.653,810,7.15,23.1,1.220118642,12.01138889,13.74125,21.85
3612600,0.043859649,12,1,99,5,141,1213,0,0,62,0,0.68,869,7,25.375,3052.087646,11.69083333,13.20666667,20
37531,0.870574579,3153.4,4,423,3,128,772,4,9,84,1,20.018,934,6.8,23.85,0.414217696,11.47166667,12.76791667,19.4725
38171,2.469135802,235778.3,7,138,61,104,1093,1,74,23,4,65.995,921,6.1,29.22708333,791.8582764,12.74861111,13.52611111,21.79
401011281104040_,1.48185999,2912.2,5,104,95,46,1216,1,84,3,1,22.362,897,9.7,16.5,43.81476212,12.26666667,14.52111111,16.21
401031281101050_,11.64231961,12802.6,6,8,90,53,1260,0,74,11,4,85.208,897,8.6,17.6,213.8250198,12.34888889,14.32527778,17.08
401031281104010_,0.971397733,1471.5,4,132,128,28,1359,1,64,16,1,19.088,897,10.4,14.3,19.2612381,12.22972222,14.49194444,16.68
401061281105020_,2.473763118,1230,4,8,120,57,1293,0,95,3,0,8.528,897,9.7,17.3,17.98624706,12.22652778,14.30402778,16.7875
401081281107070_,2.863961814,2850.1,4,37,94,45,1552,0,51,22,3,39.1,897,8.4,14.5,36.68301487,12.13611111,14.27013889,16.9875
401081281107090_,0.238435861,8243.7,6,12,90,46,1340,0,62,19,2,38.473,897,9.3,15.4,104.3165436,12.13694444,14.31861111,17.08
401101281108051_,15.36666667,8.2,1,70,62,61,831,0,87,35,0,106.678,897,8,19.1,12.23942947,12.29763889,14.45604167,16.55
402011282206020_,2.677888294,4148.3,5,156,79,107,1355,0,61,17,14,255.02,895,8.7,21.2,47.69096756,12.35944444,13.98805556,17.5075
402011282218040_,0.596760443,1875.1,5,228,61,108,1371,0,47,28,14,228.323,895,11.5,8.5,21.79284859,10.3025,11.21194444,11.86
402011282218070_,0.198356475,2930.8,5,151,66,108,1352,0,54,22,13,240.638,895,8.8,19.8,26.27924919,12.34916667,13.95972222,18.505
402011282218090_,0.887345679,4089.9,5,149,78,107,1356,0,60,17,14,257.707,895,8.2,20.4,48.33202553,12.13416667,14.03388889,17.16
402011282228040_,0.493468795,199.8,3,412,75,102,1394,0,54,11,6,91.92,895,9.1,18.9,1.936480045,12.51722222,13.98277778,18.7
402011282228070_,0.198356475,4.6,1,391,58,110,1310,0,0,20,0,309.755,895,8.8,19.8,1.940077305,12.34638889,13.93708333,18.505
402011282228160_,0.462082088,199.8,3,412,75,102,1394,0,54,11,6,91.92,895,8.5,19.6,1.951928854,12.44611111,13.98722222,18.69
402021282206050_,2.867715079,309.7,3,92,124,97,1427,0,81,2,17,1311.491,895,11.7,9.7,6.639416695,10.59638889,12.13,12.2
402031282207080_,1.63410302,789,4,22,67,103,1400,0,65,16,10,95.176,895,9.3,19.4,13.18030119,12.06638889,13.95263889,17.205
402031282207090_,1.462087725,1295,4,19,58,108,1344,0,60,17,11,158.233,895,8,20.7,20.47101021,12.13027778,13.97388889,17.17
402041282204010_,0.239616613,1076.9,5,225,86,75,1469,0,86,4,3,121.675,889,10,16.4,14.68111444,12.20777778,14.10048611,16.69
402041282204050_,0.872669576,2634.4,5,121,94,80,1467,0,72,7,8,167.352,889,9.2,18.2,41.33529568,12.47527778,14.20527778,17.48
402041282204090_,0.541338583,5531.6,5,48,103,83,1467,0,65,10,6,124.175,889,9,18.8,92.94828415,12.30138889,14.09645833,17.1275
402041282204110_,1.56555773,7098.5,5,118,98,85,1450,0,60,11,7,122.872,889,9.2,19,124.9507675,12.11722222,14.01083333,17.78
402041282207090_,1.205626256,10016.4,5,4,89,90,1415,0,56,13,7,125.696,895,8.6,20.1,31.96204424,12.16055556,14.01256944,17.28
402041282220220_,0.31152648,1076.9,5,225,86,75,1469,0,86,4,3,121.675,889,11.2,10.8,11.46877027,11.14263889,13.09333333,14.9775
402051282201010_,1.525590551,1873.1,4,89,103,82,1379,0,85,3,3,57.885,878,9.2,18.4,28.08848667,12.43847222,14.26284722,16.8225
402071282201010_,0.486618005,19.2,1,285,128,93,1427,0,75,1,6,348.188,878,9.1,18.5,10.82577848,13.18611111,14.5475,18.875
402071282201080_,2.159746788,1456.6,5,9,108,87,1438,0,75,3,14,176.914,878,7.5,18.7,40.48130608,12.35694444,14.22388889,17.21
402081282211040_,1.985559567,3750.2,5,83,129,87,1538,0,92,2,3,46.671,885,9.9,17.4,99.93135262,11.99472222,13.96395833,16.5725
402091282209020_,0.469283276,4026.2,5,23,110,92,1669,0,71,10,4,85.59,885,9.2,19.8,115.0380363,12.45569444,14.21902778,16.79
402101282209020_,0.266260936,863.6,4,12,103,96,1835,0,86,4,0,71.897,885,9.3,18.7,30.42672348,12.32694444,14.15055556,16.89
402111282214070_,0.201775626,3516.1,5,84,123,96,1596,0,68,9,11,192.352,892,9.2,18,85.00365448,12.19444444,13.93770833,16.25
